Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582072,79706,Charles,Paquet,CAN,1,00:09:36,00:00:37,00:28:10,00:00:31,00:15:24,1,,00:54:19
582072,73377,Jeremy,Briand,CAN,3,00:09:42,00:00:35,00:28:07,00:00:33,00:15:43,2,,00:54:40
582072,80663,Darr,Smith,USA,2,00:09:38,00:00:34,00:28:11,00:00:30,00:15:59,3,,00:54:53
582072,103635,Josiah,Ney,CAN,14,00:09:41,00:00:34,00:28:09,00:00:32,00:16:01,4,,00:54:57
582072,123192,Andrew,Shellenberger,USA,11,00:09:40,00:00:37,00:28:08,00:00:31,00:16:08,5,,00:55:04
582072,79730,Tyler,Smith,BER,5,00:09:43,00:00:34,00:28:07,00:00:32,00:16:21,6,,00:55:17
582072,125089,Marc,Dubrick,USA,6,00:09:35,00:00:40,00:28:10,00:00:34,00:16:24,7,,00:55:22
582072,58551,Russell,Pennock,CAN,9,00:09:46,00:00:38,00:29:01,00:00:36,00:15:37,8,,00:55:39
582072,144208,Mathis,Beaulieu,CAN,4,00:09:44,00:00:42,00:28:57,00:00:35,00:15:43,9,,00:55:40
582072,171623,Ka'eo,Kruse,USA,10,00:09:42,00:00:42,00:28:56,00:00:34,00:15:57,10,,00:55:52
582072,175528,Carter,Stuhlmacher,USA,39,00:09:41,00:00:46,00:29:00,00:00:32,00:16:21,11,,00:56:20
582072,123188,Nicholas,Holmes,USA,7,00:10:14,00:00:38,00:29:11,00:00:29,00:16:07,12,,00:56:39
582072,176980,Ryan,Luczak,USA,34,00:09:45,00:00:42,00:29:39,00:00:32,00:16:09,13,,00:56:48
582072,143171,Sage,Sulentic,CAN,26,00:09:43,00:00:43,00:28:59,00:00:32,00:17:00,14,,00:56:58
582072,98188,Brodie,Marshall,CAN,16,00:09:40,00:00:38,00:29:06,00:00:32,00:17:08,15,,00:57:04
582072,171947,Sullivan,Middaugh,USA,15,00:10:22,00:00:37,00:29:05,00:00:32,00:16:29,16,,00:57:06
582072,162696,Alexandre,Leblanc,CAN,19,00:10:20,00:00:42,00:29:03,00:00:36,00:16:37,17,,00:57:18
582072,143420,Blake,Harris,CAN,17,00:10:23,00:00:41,00:29:00,00:00:38,00:16:48,18,,00:57:29
582072,160052,Humberto,Castañeiras Jenner,MEX,24,00:10:09,00:00:39,00:29:17,00:00:34,00:17:01,19,,00:57:40
582072,159108,Silas,Schmitt,GER,22,00:09:45,00:00:42,00:28:57,00:00:35,00:17:44,20,,00:57:43
582072,175753,Jacob,Burgener,USA,37,00:10:22,00:00:38,00:29:03,00:00:31,00:17:10,21,,00:57:45
582072,103873,Michael,Arishita,USA,8,00:09:36,00:00:45,00:29:43,00:00:35,00:17:11,22,,00:57:51
582072,161443,Adoh,Doherty,USA,23,00:10:15,00:00:40,00:29:10,00:00:34,00:17:15,23,,00:57:53
582072,143308,William,Nolet,CAN,21,00:10:19,00:00:40,00:29:02,00:00:37,00:17:33,24,,00:58:10
582072,119672,Nathan F.,Cohen,USA,12,00:10:17,00:00:36,00:29:08,00:00:31,00:17:51,25,,00:58:22
582072,175018,Brad,Murray,USA,29,00:10:24,00:00:39,00:29:04,00:00:35,00:18:51,26,,00:59:33
582072,169892,Brett,Saunders,CAN,20,00:09:33,00:00:42,00:29:06,00:00:35,00:19:46,27,,00:59:43
582072,139574,Valentino,Agnelli,ARG,25,00:10:19,00:00:32,00:29:13,00:00:33,00:19:15,28,,00:59:51
582072,170223,Sam,Teller,USA,38,00:11:27,00:00:47,00:31:07,00:00:29,00:16:04,29,,00:59:54
582072,167080,Matthew,Bode,USA,36,00:10:26,00:00:41,00:31:43,00:00:46,00:16:59,30,,01:00:34
582072,132187,Nicholas,Pilgrim,BER,30,00:10:05,00:00:42,00:29:17,00:00:33,00:20:00,31,,01:00:37
582072,168754,Matthew,McGoey,USA,27,00:10:36,00:00:58,00:31:03,00:00:37,00:17:26,32,,01:00:41
582072,174546,Matteo,Tonnos,CAN,40,00:10:30,00:00:41,00:31:33,00:00:31,00:17:25,33,,01:00:41
582072,175043,Connor,Oats,USA,32,00:11:20,00:00:43,00:31:18,00:00:42,00:17:05,34,,01:01:08
582072,131932,Keller,Norland,USA,18,00:10:26,00:00:40,00:29:01,00:00:33,00:20:51,35,,01:01:30
582072,175112,Daniel,Epp,CAN,33,00:10:41,00:00:42,00:31:22,00:00:35,00:18:19,36,,01:01:40
582072,58159,Ian,King,USA,35,00:10:27,00:00:37,00:31:15,00:00:36,00:19:20,37,,01:02:15
582072,143835,Louis,Marchand,CAN,28,00:10:19,00:00:41,00:35:30,00:00:34,00:17:44,38,,01:04:48